date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty,accum_dist,atr,cmo,cmf,cci,ema_fast,ema_slow,hma_fast,hma_slow,mfi,obv,sma,percent_k,percent_d,smoothed_ma,true_range,ulti_osc,volatility,rsi,williams,trend,trend_nextday
2012-01-02 22:00:00,119.526,119.242,119.527,118.955,119.618,119.318,119.622,119.025,12277,0.0,,,,,,,,,,1.0,,,,119.318,-97.97743568656678,,,,-97.97743568656678,1,0.0
2012-01-03 22:00:00,119.242,120.033,120.161,119.154,119.318,120.091,120.194,119.233,52708,41409.51092611766,,,,,,,,,,52709.0,,,,119.72484210526315,-96.98414330138007,,,,-96.98414330138007,0,0.0
2012-01-04 22:00:00,120.033,119.799,120.196,119.599,120.091,119.849,120.251,119.622,52090,26917.062595434385,,,,,,,,,,619.0,,,,119.77065682656827,-97.29510935211123,,,,-97.29510935211123,0,0.0
2012-01-05 22:00:00,119.799,119.451,119.949,119.169,119.849,119.505,119.977,119.196,63691,13624.318677379819,,,,,,,,,,-63072.0,,,,119.6934085489968,-97.73714373827454,,,,-97.73714373827454,0,1.0
2012-01-06 22:00:00,119.451,118.714,119.734,118.54,119.505,118.78,119.763,118.566,53869,-20983.251080348,,,,,,,,,,-116941.0,,,,119.4703594051427,-98.66875690678728,,,,-98.66875690678728,1,1.0
2012-01-09 22:00:00,118.714,118.702,118.866,118.254,118.78,118.903,118.903,118.289,48787,27803.748919652,,,,,,,,,,-68154.0,,,,119.34927339353206,-98.51070391406029,,,,-98.51070391406029,1,0.0
2012-01-10 22:00:00,118.702,118.961,119.063,118.697,118.903,119.023,119.088,118.744,53127,60853.684966163986,,,,,119.1799367472001,,,,,-15027.0,,,,119.28673334085994,-98.35650587237542,,,,-98.35650587237542,0,0.0
2012-01-11 22:00:00,118.961,117.789,119.109,117.711,119.023,117.841,119.133,117.739,56479,12639.904478358316,,,,,118.7883208424315,,118.2315476190476,,,-71506.0,,,,119.0328878439466,-99.8753565829714,,,,-99.8753565829714,0,1.0
2012-01-12 22:00:00,117.789,117.662,118.108,117.512,117.841,117.75,118.131,117.535,62647,-4808.756595466744,,,,,118.43858484186799,,117.67647619047618,,,-134153.0,,,,118.82346395351117,-99.99229009791576,,,,-99.99229009791576,1,0.0
2012-01-13 22:00:00,117.662,117.809,118.186,117.275,117.75,118.006,118.211,117.295,68173,32850.127684009385,2.340999999999994,-34.02489626556028,0.06227745129078412,-4.2820026125263535,118.25946164682678,,117.5138888888889,,,-65980.0,118.9066,0.10935497650576714,,118.69795544836714,-99.6633342756547,,1.2114761137002388,,-99.6633342756547,0,1.0
